"tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","players_info","match_info"
"2022-8888","Atp Cup","Hard",16,"A",20220103,269,"[{""id"": 133430, ""name"": ""Denis Shapovalov"", ""hand"": ""L"",""height"":185,""ioc"":""CAN"",""age"":22.7, ""rank"": 14, ""rank_points"": 2475}, {""id"":105526, ""name"": ""Jan Lennard Struff"", ""hand"":""R"", ""height"":193, ""ioc"": ""GER"", ""age"": 31.6, ""rank"": 51, ""rank_points"": 1134}]","{""score"": ""7-6(5) 4-6 6-3"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 154, ""winner_id"": 133430, ""loser_id"": 105526}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,268,"[{""id"": 100644, ""name"": ""Alexander Zverev"", ""hand"": ""R"",""height"":198,""ioc"":""GER"",""age"":24.7, ""rank"": 3, ""rank_points"": 7840}, {""id"":111815, ""name"": ""Cameron Norrie"", ""hand"":""L"", ""height"":188, ""ioc"": ""GBR"", ""age"": 26.3, ""rank"": 12, ""rank_points"": 2945}]","{""score"": ""7-6(2) 6-1"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 87, ""winner_id"": 100644, ""loser_id"": 111815}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,267,"[{""id"": 105554, ""name"": ""Daniel Evans"", ""hand"": ""R"",""height"":175,""ioc"":""GBR"",""age"":31.6, ""rank"": 25, ""rank_points"": 1942}, {""id"":105526, ""name"": ""Jan Lennard Struff"", ""hand"":""R"", ""height"":193, ""ioc"": ""GER"", ""age"": 31.6, ""rank"": 51, ""rank_points"": 1134}]","{""score"": ""6-1 6-2"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 69, ""winner_id"": 105554, ""loser_id"": 105526}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,266,"[{""id"": 100644, ""name"": ""Alexander Zverev"", ""hand"": ""R"",""height"":198,""ioc"":""GER"",""age"":24.7, ""rank"": 3, ""rank_points"": 7840}, {""id"":126203, ""name"": ""Taylor Fritz"", ""hand"":""R"", ""height"":193, ""ioc"": ""USA"", ""age"": 24.1, ""rank"": 23, ""rank_points"": 2050}]","{""score"": ""6-4 6-4"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 89, ""winner_id"": 100644, ""loser_id"": 126203}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,265,"[{""id"": 105526, ""name"": ""Jan Lennard Struff"", ""hand"": ""R"",""height"":193,""ioc"":""GER"",""age"":31.6, ""rank"": 51, ""rank_points"": 1134}, {""id"":104545, ""name"": ""John Isner"", ""hand"":""R"", ""height"":206, ""ioc"": ""USA"", ""age"": 36.6, ""rank"": 24, ""rank_points"": 1991}]","{""score"": ""7-6(7) 4-6 7-5"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 163, ""winner_id"": 105526, ""loser_id"": 104545}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,264,"[{""id"": 200000, ""name"": ""Felix Auger Aliassime"", ""hand"": ""R"",""height"":193,""ioc"":""CAN"",""age"":21.4, ""rank"": 11, ""rank_points"": 3308}, {""id"":111815, ""name"": ""Cameron Norrie"", ""hand"":""L"", ""height"":188, ""ioc"": ""GBR"", ""age"": 26.3, ""rank"": 12, ""rank_points"": 2945}]","{""score"": ""7-6(4) 6-3"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 119, ""winner_id"": 200000, ""loser_id"": 111815}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,263,"[{""id"": 105554, ""name"": ""Daniel Evans"", ""hand"": ""R"",""height"":175,""ioc"":""GBR"",""age"":31.6, ""rank"": 25, ""rank_points"": 1942}, {""id"":133430, ""name"": ""Denis Shapovalov"", ""hand"":""L"", ""height"":185, ""ioc"": ""CAN"", ""age"": 22.7, ""rank"": 14, ""rank_points"": 2475}]","{""score"": ""6-4 6-4"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 82, ""winner_id"": 105554, ""loser_id"": 133430}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,262,"[{""id"": 126203, ""name"": ""Taylor Fritz"", ""hand"": ""R"",""height"":193,""ioc"":""USA"",""age"":24.1, ""rank"": 23, ""rank_points"": 2050}, {""id"":200000, ""name"": ""Felix Auger Aliassime"", ""hand"":""R"", ""height"":193, ""ioc"": ""CAN"", ""age"": 21.4, ""rank"": 11, ""rank_points"": 3308}]","{""score"": ""6-7(6) 6-4 6-4"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 147, ""winner_id"": 126203, ""loser_id"": 200000}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,261,"[{""id"": 104545, ""name"": ""John Isner"", ""hand"": ""R"",""height"":206,""ioc"":""USA"",""age"":36.6, ""rank"": 24, ""rank_points"": 1991}, {""id"":111790, ""name"": ""Brayden Schnur"", ""hand"":""R"", ""height"":193, ""ioc"": ""CAN"", ""age"": 26.5, ""rank"": 238, ""rank_points"": 264}]","{""score"": ""6-1 6-3"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 65, ""winner_id"": 104545, ""loser_id"": 111790}"
"2022-8888","Atp Cup","Hard",16,"A",20220103,260,"[{""id"": 126203, ""name"": ""Taylor Fritz"", ""hand"": ""R"",""height"":193,""ioc"":""USA"",""age"":24.1, ""rank"": 23, ""rank_points"": 2050}, {""id"":111815, ""name"": ""Cameron Norrie"", ""hand"":""L"", ""height"":188, ""ioc"": ""GBR"", ""age"": 26.3, ""rank"": 12, ""rank_points"": 2945}]","{""score"": ""7-6(4) 3-6 6-1"", ""best_of"": 3, ""round"": ""RR"", ""minutes"": 118, ""winner_id"": 126203, ""loser_id"": 111815}"
